surah,qaloon_ayah,hafs_ayah_start,hafs_ayah_end,relation
1,1,2,2,shifted
1,2,3,3,shifted
1,3,4,4,shifted
1,4,5,5,shifted
1,5,6,6,shifted
1,6,7,7,shifted
1,7,7,7,identity
2,1,1,2,range
2,2,3,3,shifted
2,3,4,4,shifted
2,4,5,5,shifted
2,5,6,6,shifted
2,6,7,7,shifted
2,7,8,8,shifted
2,8,9,9,shifted
2,9,10,10,shifted
2,10,11,11,shifted
2,11,12,12,shifted
2,12,13,13,shifted
2,13,14,14,shifted
2,14,15,15,shifted
2,15,16,16,shifted
2,16,17,17,shifted
2,17,18,18,shifted
2,18,19,19,shifted
2,19,20,20,shifted
2,20,21,21,shifted
2,21,22,22,shifted
2,22,23,23,shifted
2,23,24,24,shifted
2,24,25,25,shifted
2,25,26,26,shifted
2,26,27,27,shifted
2,27,28,28,shifted
2,28,29,29,shifted
2,29,30,30,shifted
2,30,31,31,shifted
2,31,32,32,shifted
2,32,33,33,shifted
2,33,34,34,shifted
2,34,35,35,shifted
2,35,36,36,shifted
2,36,37,37,shifted
2,37,38,38,shifted
2,38,39,39,shifted
2,39,40,40,shifted
2,40,41,41,shifted
2,41,42,42,shifted
2,42,43,43,shifted
2,43,44,44,shifted
2,44,45,45,shifted
2,45,46,46,shifted
2,46,47,47,shifted
2,47,48,48,shifted
2,48,49,49,shifted
2,49,50,50,shifted
2,50,51,51,shifted
2,51,52,52,shifted
2,52,53,53,shifted
2,53,54,54,shifted
2,54,55,55,shifted
2,55,56,56,shifted
2,56,57,57,shifted
2,57,58,58,shifted
2,58,59,59,shifted
2,59,60,60,shifted
2,60,61,61,shifted
2,61,62,62,shifted
2,62,63,63,shifted
2,63,64,64,shifted
2,64,65,65,shifted
2,65,66,66,shifted
2,66,67,67,shifted
2,67,68,68,shifted
2,68,69,69,shifted
2,69,70,70,shifted
2,70,71,71,shifted
2,71,72,72,shifted
2,72,73,73,shifted
2,73,74,74,shifted
2,74,75,75,shifted
2,75,76,76,shifted
2,76,77,77,shifted
2,77,78,78,shifted
2,78,79,79,shifted
2,79,80,80,shifted
2,80,81,81,shifted
2,81,82,82,shifted
2,82,83,83,shifted
2,83,84,84,shifted
2,84,85,86,range
2,85,86,86,shifted
2,86,87,87,shifted
2,87,88,88,shifted
2,88,89,89,shifted
2,89,90,90,shifted
2,90,91,91,shifted
2,91,92,92,shifted
2,92,93,93,shifted
2,93,94,94,shifted
2,94,95,95,shifted
2,95,96,96,shifted
2,96,97,97,shifted
2,97,98,98,shifted
2,98,99,99,shifted
2,99,100,100,shifted
2,100,101,101,shifted
2,101,102,102,shifted
2,102,103,103,shifted
2,103,104,104,shifted
2,104,105,105,shifted
2,105,106,106,shifted
2,106,107,107,shifted
2,107,108,108,shifted
2,108,109,109,shifted
2,109,110,110,shifted
2,110,111,111,shifted
2,111,112,112,shifted
2,112,113,113,shifted
2,113,114,114,shifted
2,114,115,115,shifted
2,115,116,116,shifted
2,116,117,117,shifted
2,117,118,118,shifted
2,118,119,119,shifted
2,119,120,120,shifted
2,120,121,121,shifted
2,121,122,122,shifted
2,122,123,123,shifted
2,123,124,124,shifted
2,124,125,125,shifted
2,125,126,126,shifted
2,126,127,127,shifted
2,127,128,128,shifted
2,128,129,129,shifted
2,129,130,130,shifted
2,130,131,131,shifted
2,131,132,132,shifted
2,132,133,133,shifted
2,133,134,134,shifted
2,134,135,135,shifted
2,135,136,136,shifted
2,136,137,137,shifted
2,137,138,138,shifted
2,138,139,139,shifted
2,139,140,140,shifted
2,140,141,141,shifted
2,141,142,142,shifted
2,142,143,143,shifted
2,143,144,144,shifted
2,144,145,145,shifted
2,145,146,146,shifted
2,146,147,147,shifted
2,147,148,148,shifted
2,148,149,149,shifted
2,149,150,150,shifted
2,150,151,151,shifted
2,151,152,152,shifted
2,152,153,153,shifted
2,153,154,154,shifted
2,154,155,155,shifted
2,155,156,156,shifted
2,156,157,157,shifted
2,157,158,158,shifted
2,158,159,159,shifted
2,159,160,160,shifted
2,160,161,161,shifted
2,161,162,162,shifted
2,162,163,163,shifted
2,163,164,164,shifted
2,164,165,165,shifted
2,165,166,166,shifted
2,166,167,167,shifted
2,167,168,168,shifted
2,168,169,169,shifted
2,169,170,170,shifted
2,170,171,171,shifted
2,171,172,172,shifted
2,172,173,173,shifted
2,173,174,174,shifted
2,174,175,175,shifted
2,175,176,176,shifted
2,176,177,177,shifted
2,177,178,178,shifted
2,178,179,179,shifted
2,179,180,180,shifted
2,180,181,181,shifted
2,181,182,182,shifted
2,182,183,183,shifted
2,183,184,184,shifted
2,184,185,185,shifted
2,185,186,186,shifted
2,186,187,187,shifted
2,187,188,188,shifted
2,188,189,189,shifted
2,189,190,190,shifted
2,190,191,191,shifted
2,191,192,192,shifted
2,192,193,193,shifted
2,193,194,194,shifted
2,194,195,195,shifted
2,195,196,196,shifted
2,196,197,197,shifted
2,197,198,198,shifted
2,198,199,199,shifted
2,199,200,201,range
2,200,202,202,shifted
2,201,203,203,shifted
2,202,204,204,shifted
2,203,205,205,shifted
2,204,206,206,shifted
2,205,207,207,shifted
2,206,208,208,shifted
2,207,209,209,shifted
2,208,210,210,shifted
2,209,211,211,shifted
2,210,212,212,shifted
2,211,213,213,shifted
2,212,214,214,shifted
2,213,215,215,shifted
2,214,216,216,shifted
2,215,217,217,shifted
2,216,218,218,shifted
2,217,219,219,shifted
2,218,220,220,shifted
2,219,221,221,shifted
2,220,222,222,shifted
2,221,223,223,shifted
2,222,224,224,shifted
2,223,225,225,shifted
2,224,226,226,shifted
2,225,227,227,shifted
2,226,228,228,shifted
2,227,229,229,shifted
2,228,230,230,shifted
2,229,231,231,shifted
2,230,232,232,shifted
2,231,233,233,shifted
2,232,234,234,shifted
2,233,235,235,shifted
2,234,236,236,shifted
2,235,237,237,shifted
2,236,238,238,shifted
2,237,239,239,shifted
2,238,240,240,shifted
2,239,241,241,shifted
2,240,242,242,shifted
2,241,243,243,shifted
2,242,244,244,shifted
2,243,245,245,shifted
2,244,246,246,shifted
2,245,247,247,shifted
2,246,248,248,shifted
2,247,249,249,shifted
2,248,250,250,shifted
2,249,251,251,shifted
2,250,252,252,shifted
2,251,253,253,shifted
2,252,254,254,shifted
2,253,255,255,shifted
2,254,255,255,shifted
2,255,256,256,shifted
2,256,257,257,shifted
2,257,258,258,shifted
2,258,259,259,shifted
2,259,260,260,shifted
2,260,261,261,shifted
2,261,262,262,shifted
2,262,263,263,shifted
2,263,264,264,shifted
2,264,265,265,shifted
2,265,266,266,shifted
2,266,267,267,shifted
2,267,268,268,shifted
2,268,269,269,shifted
2,269,270,270,shifted
2,270,271,271,shifted
2,271,272,272,shifted
2,272,273,273,shifted
2,273,274,274,shifted
2,274,275,275,shifted
2,275,276,276,shifted
2,276,277,277,shifted
2,277,278,278,shifted
2,278,279,279,shifted
2,279,280,280,shifted
2,280,281,281,shifted
2,281,282,282,shifted
2,282,283,283,shifted
2,283,284,284,shifted
2,284,285,285,shifted
2,285,286,286,shifted
3,1,1,2,range
3,2,3,3,shifted
3,3,4,4,shifted
3,4,4,4,identity
3,5,5,5,identity
3,6,6,6,identity
3,7,7,7,identity
3,8,8,8,identity
3,9,9,9,identity
3,10,10,10,identity
3,11,11,11,identity
3,12,12,12,identity
3,13,13,13,identity
3,14,14,14,identity
3,15,15,15,identity
3,16,16,16,identity
3,17,17,17,identity
3,18,18,18,identity
3,19,19,19,identity
3,20,20,20,identity
3,21,21,21,identity
3,22,22,22,identity
3,23,23,23,identity
3,24,24,24,identity
3,25,25,25,identity
3,26,26,26,identity
3,27,27,27,identity
3,28,28,28,identity
3,29,29,29,identity
3,30,30,30,identity
3,31,31,31,identity
3,32,32,32,identity
3,33,33,33,identity
3,34,34,34,identity
3,35,35,35,identity
3,36,36,36,identity
3,37,37,37,identity
3,38,38,38,identity
3,39,39,39,identity
3,40,40,40,identity
3,41,41,41,identity
3,42,42,42,identity
3,43,43,43,identity
3,44,44,44,identity
3,45,45,45,identity
3,46,46,46,identity
3,47,47,47,identity
3,48,48,49,range
3,49,50,50,shifted
3,50,51,51,shifted
3,51,52,52,shifted
3,52,53,53,shifted
3,53,54,54,shifted
3,54,55,55,shifted
3,55,56,56,shifted
3,56,57,57,shifted
3,57,58,58,shifted
3,58,59,59,shifted
3,59,60,60,shifted
3,60,61,61,shifted
3,61,62,62,shifted
3,62,63,63,shifted
3,63,64,64,shifted
3,64,65,65,shifted
3,65,66,66,shifted
3,66,67,67,shifted
3,67,68,68,shifted
3,68,69,69,shifted
3,69,70,70,shifted
3,70,71,71,shifted
3,71,72,72,shifted
3,72,73,73,shifted
3,73,74,74,shifted
3,74,75,75,shifted
3,75,76,76,shifted
3,76,77,77,shifted
3,77,78,78,shifted
3,78,79,79,shifted
3,79,80,80,shifted
3,80,81,81,shifted
3,81,82,82,shifted
3,82,83,84,range
3,83,84,84,shifted
3,84,85,85,shifted
3,85,86,86,shifted
3,86,87,87,shifted
3,87,88,88,shifted
3,88,89,89,shifted
3,89,90,90,shifted
3,90,91,91,shifted
3,91,92,92,shifted
3,92,92,92,identity
3,93,93,93,identity
3,94,94,94,identity
3,95,95,95,identity
3,96,96,96,identity
3,97,97,97,identity
3,98,98,98,identity
3,99,99,99,identity
3,100,100,100,identity
3,101,101,101,identity
3,102,102,102,identity
3,103,103,103,identity
3,104,104,104,identity
3,105,105,105,identity
3,106,106,106,identity
3,107,107,107,identity
3,108,108,108,identity
3,109,109,109,identity
3,110,110,110,identity
3,111,111,111,identity
3,112,112,112,identity
3,113,113,113,identity
3,114,114,114,identity
3,115,115,115,identity
3,116,116,116,identity
3,117,117,117,identity
3,118,118,118,identity
3,119,119,119,identity
3,120,120,120,identity
3,121,121,121,identity
3,122,122,122,identity
3,123,123,123,identity
3,124,124,124,identity
3,125,125,125,identity
3,126,126,126,identity
3,127,127,127,identity
3,128,128,128,identity
3,129,129,129,identity
3,130,130,130,identity
3,131,131,131,identity
3,132,132,132,identity
3,133,133,133,identity
3,134,134,134,identity
3,135,135,135,identity
3,136,136,136,identity
3,137,137,137,identity
3,138,138,138,identity
3,139,139,139,identity
3,140,140,140,identity
3,141,141,141,identity
3,142,142,142,identity
3,143,143,143,identity
3,144,144,144,identity
3,145,145,145,identity
3,146,146,146,identity
3,147,147,147,identity
3,148,148,148,identity
3,149,149,149,identity
3,150,150,150,identity
3,151,151,151,identity
3,152,152,152,identity
3,153,153,153,identity
3,154,154,154,identity
3,155,155,155,identity
3,156,156,156,identity
3,157,157,158,range
3,158,158,158,identity
3,159,159,159,identity
3,160,160,160,identity
3,161,161,161,identity
3,162,162,162,identity
3,163,163,163,identity
3,164,164,164,identity
3,165,165,165,identity
3,166,166,166,identity
3,167,167,167,identity
3,168,168,168,identity
3,169,169,169,identity
3,170,170,170,identity
3,171,171,171,identity
3,172,172,172,identity
3,173,173,173,identity
3,174,174,174,identity
3,175,175,175,identity
3,176,176,176,identity
3,177,177,177,identity
3,178,178,178,identity
3,179,179,179,identity
3,180,180,180,identity
3,181,181,181,identity
3,182,182,182,identity
3,183,183,183,identity
3,184,184,184,identity
3,185,185,185,identity
3,186,186,186,identity
3,187,187,187,identity
3,188,188,188,identity
3,189,189,189,identity
3,190,190,190,identity
3,191,191,191,identity
3,192,192,192,identity
3,193,193,193,identity
3,194,194,194,identity
3,195,195,195,identity
3,196,196,196,identity
3,197,197,197,identity
3,198,198,198,identity
3,199,199,199,identity
3,200,200,200,identity
4,1,1,1,identity
4,2,2,2,identity
4,3,3,3,identity
4,4,4,4,identity
4,5,5,5,identity
4,6,6,6,identity
4,7,7,7,identity
4,8,8,8,identity
4,9,9,9,identity
4,10,10,10,identity
4,11,11,11,identity
4,12,12,12,identity
4,13,13,13,identity
4,14,14,14,identity
4,15,15,15,identity
4,16,16,16,identity
4,17,17,17,identity
4,18,18,18,identity
4,19,19,19,identity
4,20,20,20,identity
4,21,21,21,identity
4,22,22,22,identity
4,23,23,23,identity
4,24,24,24,identity
4,25,25,25,identity
4,26,26,26,identity
4,27,27,27,identity
4,28,28,28,identity
4,29,29,29,identity
4,30,30,30,identity
4,31,31,31,identity
4,32,32,32,identity
4,33,33,33,identity
4,34,34,34,identity
4,35,35,35,identity
4,36,36,36,identity
4,37,37,37,identity
4,38,38,38,identity
4,39,39,39,identity
4,40,40,40,identity
4,41,41,41,identity
4,42,42,42,identity
4,43,43,43,identity
4,44,44,44,identity
4,45,45,45,identity
4,46,46,46,identity
4,47,47,47,identity
4,48,48,48,identity
4,49,49,49,identity
4,50,50,50,identity
4,51,51,51,identity
4,52,52,52,identity
4,53,53,53,identity
4,54,54,54,identity
4,55,55,55,identity
4,56,56,56,identity
4,57,57,57,identity
4,58,58,58,identity
4,59,59,59,identity
4,60,60,60,identity
4,61,61,61,identity
4,62,62,62,identity
4,63,63,63,identity
4,64,64,64,identity
4,65,65,65,identity
4,66,66,66,identity
4,67,67,67,identity
4,68,68,68,identity
4,69,69,69,identity
4,70,70,70,identity
4,71,71,71,identity
4,72,72,72,identity
4,73,73,73,identity
4,74,74,74,identity
4,75,75,75,identity
4,76,76,76,identity
4,77,77,77,identity
4,78,78,78,identity
4,79,79,79,identity
4,80,80,80,identity
4,81,81,81,identity
4,82,82,82,identity
4,83,83,83,identity
4,84,84,84,identity
4,85,85,85,identity
4,86,86,86,identity
4,87,87,87,identity
4,88,88,88,identity
4,89,89,89,identity
4,90,90,90,identity
4,91,91,91,identity
4,92,92,92,identity
4,93,93,93,identity
4,94,94,94,identity
4,95,95,95,identity
4,96,96,96,identity
4,97,97,97,identity
4,98,98,98,identity
4,99,99,99,identity
4,100,100,100,identity
4,101,101,101,identity
4,102,102,102,identity
4,103,103,103,identity
4,104,104,104,identity
4,105,105,105,identity
4,106,106,106,identity
4,107,107,107,identity
4,108,108,108,identity
4,109,109,109,identity
4,110,110,110,identity
4,111,111,111,identity
4,112,112,112,identity
4,113,113,113,identity
4,114,114,114,identity
4,115,115,115,identity
4,116,116,116,identity
4,117,117,117,identity
4,118,118,118,identity
4,119,119,119,identity
4,120,120,120,identity
4,121,121,121,identity
4,122,122,122,identity
4,123,123,123,identity
4,124,124,124,identity
4,125,125,125,identity
4,126,126,126,identity
4,127,127,127,identity
4,128,128,128,identity
4,129,129,129,identity
4,130,130,130,identity
4,131,131,131,identity
4,132,132,132,identity
4,133,133,133,identity
